label,support,precision,recall,f1
Acne,20,1.0,0.9,0.9474
Back pain,20,0.8696,1.0,0.9302
Blurry vision,20,1.0,0.95,0.9744
Body feels weak,20,0.6667,0.9,0.766
Cough,20,0.9412,0.8,0.8649
Ear ache,20,1.0,1.0,1.0
Emotional pain,20,0.75,0.9,0.8182
Feeling cold,20,1.0,1.0,1.0
Feeling dizzy,20,0.95,0.95,0.95
Foot ache,20,1.0,0.85,0.9189
Hair falling out,20,0.9524,1.0,0.9756
Hard to breath,20,0.8235,0.7,0.7568
Head ache,20,0.8696,1.0,0.9302
Heart hurts,20,0.8261,0.95,0.8837
Infected wound,20,0.9474,0.9,0.9231
Injury from sports,20,0.85,0.85,0.85
Internal pain,20,0.7778,0.7,0.7368
Joint pain,20,1.0,0.6,0.75
Knee pain,20,0.8636,0.95,0.9048
Muscle pain,20,0.9444,0.85,0.8947
Neck pain,20,1.0,0.95,0.9744
Open wound,20,0.95,0.95,0.95
Shoulder pain,20,0.8421,0.8,0.8205
Skin issue,20,0.95,0.95,0.95
Stomach ache,20,0.7083,0.85,0.7727
